candle,shade_high,shade_low,interest,type
132,29,139,-0.5622928118836796,0
125,89,14,-0.5570325357640087,0
92,17,156,-0.4201145767027299,0
427,3,34,-1.8196539674422496,0
1035,38,17,-4.53578714353921,0
4,350,376,-0.0772938074020146,0
173,28,214,-0.77808618100741,0
399,16,321,-1.81142804732643,0
332,56,207,-1.5365933398720273,0
275,32,293,1.2783891360337236,1
20,206,100,-0.0749239054085535,0
304,29,140,-1.4246215848914972,0
883,12,23,-4.207273591632983,0
468,206,60,2.317238704673258,1
248,0,61,-1.0955982160170663,0
356,48,132,-1.7890402901676197,0
24,250,449,0.179345389328958,1
244,59,13,1.2009647093566969,1
198,239,43,-0.920411478072552,0
104,39,113,0.4500271994461258,1
71,127,76,0.3351569816156683,1
71,39,136,-0.3992311104539396,0
115,25,145,-0.5294932699920878,0
206,22,168,1.0193027378373074,1
93,118,121,0.3581767332319288,1
78,130,113,0.366640594446622,1
13,84,117,-0.0684395776300306,0
83,11,135,-0.3864592505625666,0
11,294,1,-0.0441978097529727,0
118,109,96,0.5715402276390904,1
6,66,140,-0.0244247960529691,0
269,9,99,-1.319261213720324,0
38,21,124,-0.1287383640324719,0
302,69,114,-1.4724838869608303,0
236,0,623,-1.1976047904191631,0
268,98,0,1.35148713826365,1
40,261,270,-0.1105305466237922,0
80,17,161,0.4257024089748142,1
143,191,200,-0.7161816998046788,0
63,109,346,-0.3430185633575462,0
837,371,10,4.069146353306792,1
91,181,169,-0.4467320578809222,0
222,9,220,-1.1120866256950563,0
37,267,74,0.1329983744643215,1
47,21,237,-0.2462932860450308,0
142,398,131,-0.6567576909782389,0
275,256,114,-1.356993736951992,0
20,214,45,0.1207911822436926,1
330,32,38,-1.7414062106799406,0
235,238,68,-1.1832197920401626,0
273,162,26,1.3095968897073789,1
581,198,95,-2.9875179046449603,0
543,73,907,-2.8475005273149208,0
78,206,371,-0.6079027355623197,0
560,6,534,-3.079947575360407,0
196,54,388,1.031617688061104,1
88,13,142,-0.5130206881168817,0
167,177,278,0.8723191465718401,1
135,99,55,0.6897312806930529,1
17,174,15,-0.104839154665342,0
203,53,167,1.0872534557176294,1
258,22,104,-1.42053215319892,0
54,177,60,0.3589573669096637,1
66,187,1,-0.4252264192622021,0
110,83,309,-0.6045144473406907,0
385,85,8,-2.097980136145523,0
56,78,194,0.3351320647543332,1
650,0,50,-3.658051689860841,0
702,102,164,-4.044572843582344,0
205,365,89,-1.2411674347158197,0
213,483,273,1.3078717917229454,1
547,228,105,-3.469237381800312,0
3,502,251,-0.0381655110998053,0
396,231,4,2.391304347826093,1
158,89,113,-0.9689440993788878,0
206,136,69,-1.329653788258895,0
553,97,85,-3.483346046275102,0
608,102,156,3.886567919989872,1
643,303,19,3.887570724584791,1
21,199,163,0.1457991616548355,1
49,81,516,-0.2612234979648775,0
30,397,210,0.1034377852144814,1
357,65,3,2.1318406478889926,1
166,249,60,-1.0540105996546032,0
169,96,103,-0.9990370727010004,0
181,248,175,1.094276094276097,1
469,69,66,-2.735690235690228,0
121,174,141,0.772863890081581,1
318,93,50,-1.926025884806478,0
533,264,209,3.231858621315752,1
147,149,312,-0.7988864007746628,0
322,153,46,-2.00719907266182,0
156,155,109,-0.933881210310048,0
152,135,140,-0.904977375565622,0
181,133,55,-1.0147133434804658,0
85,292,40,-0.6214761660686889,0
78,331,18,0.5003528128808625,1
289,492,109,1.8201284796573844,1
321,138,156,2.0722832120389825,1
55,108,130,-0.3392130257801966,0
74,192,94,0.4251910278530886,1
236,37,1,-1.4604387478432272,0
239,0,118,-1.4883371896691957,0
308,0,82,1.9421101774043024,1
19,15,169,-0.1120448179271704,0
221,93,198,1.388803539605476,1
188,22,69,1.1180652609831585,1
283,57,169,1.6964339047846693,1
243,61,34,-1.4515261931784096,0
57,73,184,-0.3454964238089388,0
375,118,37,-2.153153701113069,0
129,83,3,0.8383159711520847,1
182,70,61,1.133524285453106,1
431,32,118,2.536231884057969,1
184,59,65,-1.1166547873604171,0
240,55,161,-1.4416146083613626,0
431,63,39,2.576891105569402,1
266,69,78,1.5605821497457557,1
66,57,121,-0.4325208954351467,0
62,158,63,0.2693050758152253,1
87,38,48,-0.6147181078391242,0
124,127,57,-0.7598963242224386,0
261,0,19,1.5428671614750726,1
228,11,103,1.3092628907601809,1
207,83,118,-1.182373976237173,0
38,31,160,-0.1284071674546254,0
44,41,93,-0.1519490386301214,0
221,24,50,-1.223295288264552,0
70,20,47,-0.4621948328988026,0
65,52,75,-0.3809977378259219,0
77,32,93,0.4580334304919375,1
72,16,109,-0.4342394860508136,0
115,32,103,0.7236061684460395,1
345,66,124,-2.0403321470937072,0
284,8,271,-1.7195446839428428,0
108,37,51,-0.6653523903400611,0
38,40,135,0.1486252167451027,1
62,233,9,0.3763341353568847,1
135,68,23,0.819922902771836,1
34,102,98,0.2563320109856448,1
33,124,53,-0.2014037229172913,0
164,58,146,-1.002935420743654,0
